Ep,Train loss,Dev Loss,Dev AUC,Dev error,Best AUC,Counter
0,0.440855880519923,0.33943775450584784,0.8957696245903145,0.12867885635759824,0.8957696245903145,0
1,0.3913707235572385,0.3217855064381909,0.9052299223499913,0.12216411548396122,0.9052299223499913,0
2,0.3774175228149283,0.3285019917069276,0.9033964163003183,0.12188418521204714,0.9052299223499913,1
3,0.3637938932460897,0.3132774081647681,0.9073442604175342,0.11983560458576681,0.9073442604175342,0
4,0.3576283025098782,0.31776621033295727,0.9064560556698713,0.12232952882645598,0.9073442604175342,1
5,0.3460705356270659,0.3120976762215877,0.90981227632616,0.11984832868903561,0.90981227632616,0
6,0.3395704864579089,0.31622147854902566,0.9055658840818367,0.11909760659617519,0.90981227632616,1
7,0.3299119877756811,0.31403888723299556,0.9076897898076104,0.12084080874400371,0.90981227632616,2
8,0.31685329862669404,0.3138366523930645,0.9072033374646338,0.11736712855161535,0.90981227632616,3
9,0.3121889968420945,0.3139729145528951,0.9089365244339074,0.12235497703299358,0.90981227632616,4
10,0.3067086495897349,0.3187691163943234,0.9056805438384471,0.12459441920830627,0.90981227632616,5
11,0.2997349709418474,0.31648617314130406,0.9059202444004102,0.11809240243793817,0.90981227632616,6
12,0.29509499493767233,0.31430273901792327,0.9062234558616151,0.11893219325368043,0.90981227632616,7
13,0.28923224780489415,0.3094565615760229,0.9104733894407513,0.11953022610731512,0.9104733894407513,0
14,0.2870148459339843,0.3116662985226594,0.9085210163337165,0.11843595322619638,0.9104733894407513,1
15,0.28133594133690293,0.3071946775801317,0.9096664042320561,0.11860136656869102,0.9104733894407513,2
16,0.2772729423992774,0.313411916632151,0.9071876809749662,0.12254583858202595,0.9104733894407513,3
17,0.26933988940482045,0.31044681820462355,0.9111624287008178,0.11821964347062641,0.9111624287008178,0
18,0.27190631338778665,0.31685180764949933,0.9080986775616366,0.11987377689557333,0.9111624287008178,1
19,0.2642904490962917,0.31524838204436356,0.9108043631113059,0.1184868496392717,0.9111624287008178,2
20,0.26265878320909014,0.3149436329272826,0.9073813202032968,0.11893219325368043,0.9111624287008178,3
21,0.26039439588785174,0.31298721855535355,0.9091525745561487,0.11893219325368043,0.9111624287008178,4
22,0.25692498930821234,0.3089950637681336,0.9113583005268842,0.11944115738443328,0.9113583005268842,0
23,0.25388006006970126,0.31652647231512143,0.9116259339175696,0.11872860760137927,0.9116259339175696,0
24,0.25213963951112006,0.3179045707694452,0.9082853736822707,0.12099349798322967,0.9116259339175696,1
25,0.25311082313750305,0.3120581886557674,0.9122368369744741,0.11853774605234702,0.9122368369744741,0
26,0.24979880327979723,0.3229531195136273,0.906986847427466,0.12068811950477787,0.9122368369744741,1
27,0.2538513685558356,0.3116696701980406,0.9124802734716868,0.1204590856459391,0.9124802734716868,0
28,0.25102026445024156,0.307996765015524,0.9140986229885979,0.11893219325368043,0.9140986229885979,0
29,0.2426293760830281,0.3114750434397375,0.9147308039324271,0.1188558486340675,0.9147308039324271,0
30,0.24084227249464568,0.32078984626139523,0.9134080678107873,0.11809240243793817,0.9147308039324271,1
31,0.23905414332653963,0.3140391454691739,0.9143835227452897,0.11806695423140057,0.9147308039324271,2
32,0.2445857420161951,0.3111915763292098,0.9141780573142679,0.12227863241338066,0.9147308039324271,3
33,0.24144766828885264,0.3157017819913808,0.9139558782611057,0.11777429985621768,0.9147308039324271,4
34,0.2389803459539133,0.31478466274172356,0.9125444644896261,0.12161697904340196,0.9147308039324271,5
35,0.2377388541166689,0.3127917939843994,0.9125793616551836,0.12127342825514376,0.9147308039324271,6
36,0.23825675856102915,0.321775778650901,0.9124510173599959,0.11935208866155156,0.9147308039324271,7
37,0.2340729990280142,0.3216362054005383,0.9101932151330439,0.12070084360804667,0.9147308039324271,8
38,0.24002048593817973,0.32340793167370796,0.9116782971602886,0.12327111246834876,0.9147308039324271,9
39,0.23161842717113448,0.32486730391805696,0.9118067680440433,0.11907215838963747,0.9147308039324271,10
