acc,start,end,label
A0A0H2ZP82,40,50,disordered
A0A0H2ZP82,51,159,structured
A0A0H3CFC9,1,22,disordered
A0A0H3CFC9,23,54,structured
A0A0H3GD84,25,38,disordered
A0A0H3GD84,39,526,structured
A0A0M4HM24,1,212,disordered
A0A109NYM0,1,10,disordered
A0A109NYM0,12,195,structured
A0A140GKJ0,1,55,structured
A0A140GKJ0,56,88,disordered
A0A175WC91,5,117,structured
A0A175WC91,118,133,disordered
A0A175WC91,134,243,structured
A0A178W0D3,221,259,disordered
A0A220GHA5,1,22,disordered
A0A220GHA5,23,140,structured
A0A2V2WGW5,5,23,disordered
A0A2V2WGW5,24,170,structured
A0A2Z5UJ33,8,21,disordered
A0A2Z5UJ33,22,72,structured
A0A2Z5UJ33,73,91,disordered
A0A2Z5UJ33,92,202,structured
A0A2Z5UJ33,203,212,disordered
A0A2Z5UJ33,213,490,structured
A0A384E149,1,66,structured
A0A384E149,72,413,structured
A0A384E149,414,439,disordered
A0A396GSL0,33,55,disordered
A0A396GSL0,56,68,structured
A0A3S5Y0Q5,27,66,disordered
A0A504Y5E1,2,273,structured
A0A504Y5E1,274,285,disordered
A0A5F9ZHA1,662,672,disordered
A0A5F9ZHA1,796,852,disordered
A0A5F9ZHA1,1059,1068,disordered
A0A5F9ZHA1,1189,1201,disordered
A0A5F9ZHA1,1403,1430,disordered
A0A6L0XH39,7,51,structured
A0A6L0XH39,71,252,structured
A0A6L0XH39,268,284,disordered
A0A6L0XH39,304,323,disordered
A0A6L0XH39,325,360,structured
A0A6L0XH39,361,373,disordered
A0KJC7,1,230,disordered
A0KJC7,232,374,structured
A0KJC7,388,474,structured
A0L5S6,1,91,structured
A0L5S6,100,129,structured
A0L5S6,131,220,structured
A0L5S6,222,239,disordered
A0MHA3,23,34,structured
A0MHA3,36,64,disordered
A0R1T8,1,238,disordered
A0R1T8,240,290,structured
A0ZWU1,158,251,disordered
A1B8N7,6,115,structured
A1B8N7,116,188,disordered
A4C1A5,1,86,disordered
A4D126,43,54,structured
A4D126,63,318,structured
A4D126,319,334,disordered
A4D126,335,451,structured
A4HV47,1,54,disordered
A4HV47,55,283,structured
A4IDD0,4,241,structured
A4IDD0,242,264,disordered
A4IDS4,1,211,structured
A4IDS4,212,246,disordered
A4ZNR2,1,121,disordered
A5F384,4,100,structured
A5F384,101,110,disordered
A5F384,111,272,structured
A6ND01,20,109,structured
A6ND01,111,122,disordered
A6ND01,123,159,structured
A6ND01,164,228,structured
A6NF83,1,97,disordered
A6NI73,44,146,structured
A6NI73,147,157,disordered
A6NI73,158,176,structured
A6NI73,180,236,structured
A6YID9,1,38,disordered
A6YID9,39,136,structured
A7KHA7,24,50,disordered
A7KHA7,51,61,structured
A7L035,22,47,disordered
A7YK37,1,227,disordered
A7YK37,228,299,structured
A7YK37,301,343,structured
A7YK37,349,362,structured
A7YK37,366,380,structured
A7YK37,382,440,structured
A7YK37,444,530,structured
A8AZZ3,24,44,disordered
A8AZZ3,45,115,structured
A8AZZ3,116,134,disordered
A8AZZ3,135,145,structured
A8AZZ3,146,195,disordered
A8CDV5,1,118,disordered
A8MTZ0,1,25,disordered
A8MTZ0,26,80,structured
A8MTZ0,81,92,disordered
A8ULG6,55,161,structured
A8ULG6,162,175,disordered
A8ULG6,176,321,structured
B2LME8,32,155,disordered
B2LME8,174,400,structured
B2RLE7,23,54,disordered
B2RLE7,68,256,structured
B2RLE7,266,359,disordered
B5TV91,1,117,structured
B5TV91,118,134,disordered
B5TV91,135,185,structured
B5TV91,186,226,disordered
B5TV91,227,289,structured
B6KJB6,337,542,disordered
B8YB65,1,104,disordered
B9KDD4,2,280,structured
B9KDD4,281,327,disordered
B9KDD4,328,603,structured
B9KDD4,608,711,structured
C0J347,264,464,disordered
C4M0U8,1,150,disordered
C4PB33,361,395,disordered
C6KSX0,29,83,structured
C6KSX0,84,116,disordered
C6KSX0,117,142,structured
C6KSX0,143,157,disordered
C6KSX0,158,199,structured
C6KSX0,207,250,structured
C6KSX0,254,304,structured
C6ZFX3,1,94,disordered
C8CGS7,1630,1756,disordered
C9ZXG5,42,104,disordered
C9ZXG5,105,212,structured
D0AB09,1,10,disordered
D0AB09,11,82,structured
D0AB09,86,333,structured
D0AB09,340,421,structured
D0NBE6,97,247,structured
D0NBE6,251,330,structured
D0NBE6,335,369,structured
D0NBE6,370,381,disordered
D0PV95,1,168,disordered
D1A4G7,200,413,disordered
D1A4G7,414,697,structured
D1A4G7,741,758,structured
D1A4G7,763,1315,structured
D1M863,1,25,disordered
D1M863,26,145,structured
D3TI84,2,186,structured
D3TI84,187,244,disordered
D3TI84,246,330,structured
D3TI84,336,400,structured
D3TI84,404,491,structured
D3TI84,492,503,disordered
D3TI84,505,522,structured
D3TI84,533,661,structured
D3TI84,663,690,disordered
D3TI84,711,727,structured
D3TI84,737,791,structured
D3TI84,795,933,disordered
E1BSW7,2,139,disordered
E6PBU3,1,22,disordered
E6PBU3,37,115,structured
E6PBU3,116,143,disordered
E9AD06,1,66,disordered
E9AD06,67,150,structured
E9ADE1,13,100,structured
E9ADE1,101,121,disordered
E9ADE1,122,148,structured
E9ADE1,156,199,structured
F0TTD6,2,158,structured
F0TTD6,159,252,disordered
F4IED2,161,498,disordered
F4JL28,16,60,structured
F4JL28,63,194,structured
F4JL28,195,208,disordered
F4JL28,209,220,structured
F4JL28,221,234,disordered
F4K4L7,182,191,disordered
F4K4L7,192,254,structured
F6IAY2,177,346,disordered
F8UU09,1,82,disordered
F8UU09,83,468,structured
F9UST4,3,125,structured
F9UST4,126,147,disordered
F9UST4,148,258,structured
G0SCY6,1,25,disordered
G0SCY6,32,42,structured
G0SCY6,43,56,disordered
G0SCY6,57,70,structured
G0SCY6,83,125,structured
G1K3N3,1,44,disordered
G1K3N3,45,108,structured
G3V7P1,181,251,disordered
G5ED39,1,10,disordered
G5ED39,12,390,structured
G5ED39,391,446,disordered
G5ED39,449,589,structured
G5ED39,590,628,disordered
G5ED39,629,893,structured
G5ED39,899,1094,structured
G5ED39,1105,1140,structured
G5ED39,1141,1262,disordered
G5EFZ1,1,19,disordered
G5EFZ1,27,196,structured
G5EFZ1,198,297,structured
G5EFZ1,305,519,structured
G5EFZ1,520,539,disordered
G8HXD9,1,56,disordered
H0W0T5,8,361,structured
H0W0T5,363,565,disordered
H2L2M0,1,88,structured
H2L2M0,91,117,disordered
I1JLC8,1,105,disordered
I7MK25,1,17,disordered
I7MK25,18,116,structured
J2EKT7,2,53,structured
J2EKT7,54,82,disordered
J7JU64,29,68,disordered
J7M799,1,237,disordered
J7QA90,6,43,structured
J7QA90,44,88,disordered
J7QLC0,1006,1706,disordered
J8TM36,236,249,disordered
J9ULM6,1,17,disordered
J9ULM6,20,209,structured
J9V8B5,44,97,disordered
M1GUG5,1,86,disordered
M4GGR4,1,14,disordered
M4GGR4,15,355,structured
N1NXA6,5,47,structured
N1NXA6,64,99,disordered
O00189,160,184,disordered
O00189,185,383,structured
O00189,384,399,disordered
O00189,400,427,structured
O00189,436,453,structured
O00214,8,153,structured
O00214,154,175,disordered
O00273,1,100,disordered
O00273,101,307,structured
O00308,438,479,structured
O00308,493,552,structured
O00308,558,659,structured
O00308,662,702,disordered
O00308,703,864,structured
O00410,1,21,disordered
O00410,22,315,structured
O00410,316,329,disordered
O00410,332,591,structured
O00410,599,1097,structured
O00488,1,35,disordered
O00488,55,77,structured
O00488,78,116,disordered
O00522,64,75,structured
O00522,118,128,disordered
O00522,155,168,structured
O00522,169,198,disordered
O00522,288,416,structured
O00522,420,610,structured
O00522,615,646,structured
O00522,654,729,structured
O00584,34,188,structured
O00584,192,214,structured
O00584,215,234,disordered
O00584,235,252,structured
O00585,30,93,structured
O00585,94,134,disordered
O01479,196,221,disordered
O01479,222,388,structured
O04147,1,102,structured
O04147,103,113,disordered
O04147,116,181,structured
O06522,18,56,disordered
O06522,57,223,structured
O08583,77,104,disordered
O08583,105,182,structured
O08807,79,241,structured
O08807,244,274,disordered
O13828,2,72,structured
O13828,82,114,structured
O13828,123,185,structured
O13828,196,206,structured
O13828,220,235,structured
O13828,240,291,disordered
O13828,553,741,disordered
O13916,1,23,structured
O13916,25,80,disordered
O14140,1,54,disordered
O14352,1,11,disordered
O14352,12,71,structured
O14352,72,91,disordered
O14519,1,60,disordered
O14519,61,115,structured
O14558,1,56,disordered
O14558,74,146,structured
O14678,2,12,disordered
O14678,13,356,structured
O14678,357,383,disordered
O14678,384,604,structured
O14713,49,59,disordered
O14713,60,71,structured
O14713,168,190,structured
O14727,1,104,disordered
O14727,105,586,structured
O14727,592,789,structured
O14727,795,1248,structured
O14733,30,100,disordered
O14733,104,126,structured
O14733,133,157,structured
O14733,165,263,structured
O14733,302,400,structured
O14745,11,241,structured
O14745,242,358,disordered
O14775,1,56,disordered
O14775,220,233,structured
O14775,264,276,structured
O14776,98,108,disordered
O14776,699,721,structured
O14776,856,893,structured
O14776,896,1077,structured
O14810,26,70,structured
O14810,71,134,disordered
O14936,6,302,structured
O14936,304,460,disordered
O14936,487,507,structured
O14936,510,571,structured
O14936,739,778,structured
O14936,782,914,structured
O14958,23,57,structured
O14958,69,258,structured
O14958,268,370,structured
O14958,371,399,disordered
O14974,1,40,disordered
O14974,658,974,structured
O15054,1134,1176,disordered
O15054,1180,1291,structured
O15054,1292,1325,disordered
O15054,1326,1502,structured
O15054,1506,1590,structured
O15054,1597,1638,structured
O15151,14,25,disordered
O15151,26,106,structured
O15151,107,116,disordered
O15151,181,300,disordered
O15151,301,334,structured
O15151,395,404,disordered
O15151,427,429,disordered
O15151,430,490,structured
O15234,137,286,disordered
O15344,87,116,disordered
O15344,117,509,structured
O15344,526,661,structured
O15392,1,99,disordered
O15392,100,119,structured
O15392,121,139,structured
O15392,140,142,disordered
O15550,880,885,disordered
O15550,886,902,structured
O15550,903,909,disordered
O15550,910,1047,structured
O15550,1048,1077,disordered
O15550,1078,1395,structured
O15550,1396,1401,disordered
O15922,1,89,disordered
O15922,90,229,structured
O15922,230,240,disordered
O15922,241,262,structured
O15922,267,314,structured
O15922,315,324,disordered
O15922,325,447,structured
O16043,1,183,disordered
O17087,549,706,structured
O17087,718,765,structured
O17087,780,803,structured
O17087,813,860,disordered
O17087,896,905,structured
O23661,388,594,disordered
O23764,1,422,disordered
O23813,53,62,disordered
O23813,64,87,structured
O23813,89,113,structured
O23813,116,233,structured
O23813,242,254,structured
O23813,257,628,structured
O24172,1,33,structured
O24172,34,50,disordered
O24646,1,77,disordered
O24646,109,150,disordered
O25010,1,73,disordered
O25555,96,125,disordered
O28362,1,16,disordered
O28362,17,78,structured
O28362,79,102,disordered
O28769,1,233,disordered
O28769,237,274,structured
O28769,280,328,structured
O31467,1,48,structured
O31467,49,70,disordered
O31818,1,40,structured
O31818,41,77,disordered
O31851,40,88,structured
O31851,89,125,disordered
O31851,126,190,structured
O33599,26,44,disordered
O33599,45,146,structured
O33599,147,182,disordered
O33599,188,314,structured
O34800,1,56,disordered
O35274,1,154,disordered
O35274,417,602,disordered
O35625,1,17,disordered
O35625,19,59,disordered
O35625,60,78,structured
O35625,79,80,disordered
O35625,295,499,disordered
O35718,15,225,disordered
O39946,61,91,disordered
O39946,150,194,disordered
O43070,1,155,structured
O43070,156,158,disordered
O43070,159,191,structured
O43070,192,195,disordered
O43070,196,255,structured
O43070,256,261,disordered
O43070,262,274,structured
O43070,275,287,disordered
O43070,288,319,structured
O43070,320,553,disordered
O43236,1,119,disordered
O43236,448,477,structured
O43313,362,823,disordered
O43318,27,44,structured
O43318,48,65,structured
O43318,66,80,disordered
O43318,81,93,structured
O43318,97,176,structured
O43318,178,190,disordered
O43318,191,305,structured
O43474,1,130,disordered
O43474,430,512,structured
O43521,1,41,disordered
O43521,97,171,disordered
O43663,2,138,structured
O43663,144,308,structured
O43663,312,324,structured
O43663,326,376,structured
O43663,386,425,structured
O43663,429,444,structured
O43663,451,620,disordered
O43715,1,26,structured
O43715,36,52,structured
O43715,54,76,disordered
O43776,98,110,disordered
O43776,112,213,structured
O43776,224,277,structured
O43776,282,324,structured
O43776,331,548,structured
O44326,82,107,structured
O44326,120,522,structured
O44326,531,609,structured
O44326,613,678,disordered
O48963,184,304,structured
O48963,458,579,structured
O48963,581,592,disordered
O48963,593,614,structured
O49195,16,48,disordered
O49195,51,270,structured
O54928,175,244,disordered
O57173,1,50,disordered
O57173,51,104,structured
O57173,114,186,structured
O60239,42,143,structured
O60239,150,261,structured
O60239,266,452,disordered
O60260,1,72,structured
O60260,73,99,disordered
O60260,109,142,disordered
O60260,143,217,structured
O60260,218,221,disordered
O60260,222,353,structured
O60260,354,361,disordered
O60260,362,377,structured
O60260,378,392,disordered
O60260,393,404,structured
O60260,405,413,disordered
O60260,414,465,structured
O60486,37,511,structured
O60486,520,537,structured
O60486,573,586,structured
O60486,642,659,disordered
O60486,660,789,structured
O60486,793,813,structured
O60486,820,850,structured
O60486,869,881,structured
O60486,924,935,structured
O60502,1,58,disordered
O60502,59,174,structured
O60502,175,181,disordered
O60502,182,333,structured
O60502,334,373,disordered
O60502,374,391,structured
O60502,392,537,disordered
O60502,554,587,structured
O60502,588,605,disordered
O60502,606,659,structured
O60502,660,681,disordered
O60502,682,693,structured
O60502,694,916,disordered
O60508,1,82,disordered
O60508,117,131,structured
O60701,2,381,structured
O60701,389,464,structured
O60701,465,494,disordered
O60741,1,93,disordered
O60741,108,129,structured
O60741,140,195,structured
O60741,209,240,structured
O60741,253,324,structured
O60741,340,586,structured
O60828,1,265,disordered
O60934,272,295,disordered
O60934,335,392,disordered
O60934,423,438,disordered
O60934,655,712,structured
O61380,578,660,disordered
O61667,46,106,disordered
O62301,1,192,structured
O62301,194,210,disordered
O62301,217,254,structured
O62301,255,288,disordered
O62301,289,355,structured
O62301,388,417,structured
O62479,4,19,structured
O62479,28,42,structured
O62479,48,101,structured
O62479,106,127,disordered
O62479,130,167,structured
O62479,169,190,structured
O62479,250,407,structured
O65934,8,103,structured
O65934,104,230,disordered
O65934,231,310,structured
O66493,2,48,structured
O66493,58,86,structured
O66493,87,117,disordered
O66493,118,323,structured
O66493,326,350,disordered
O66493,353,398,structured
O66858,1,60,disordered
O66858,73,191,structured
O66858,195,238,structured
O66858,242,352,structured
O66858,357,389,structured
O67086,1,59,disordered
O67086,60,89,structured
O67086,90,118,disordered
O70200,1,16,disordered
O70200,17,123,structured
O70200,124,147,disordered
O73557,1,29,disordered
O73557,30,70,structured
O73557,71,99,disordered
O74774,1,155,disordered
O74774,156,203,structured
O74774,204,259,disordered
O74774,260,274,structured
O74774,282,592,structured
O75151,3,59,structured
O75151,60,79,disordered
O75151,86,444,structured
O75223,1,13,disordered
O75223,15,182,structured
O75324,1,33,structured
O75324,34,60,disordered
O75324,61,88,structured
O75469,130,142,disordered
O75469,143,176,structured
O75469,177,210,disordered
O75469,211,228,structured
O75469,229,237,disordered
O75469,238,308,structured
O75469,309,318,disordered
O75469,319,381,structured
O75469,382,384,disordered
O75469,385,429,structured
O75469,430,434,disordered
O75475,31,32,disordered
O75475,92,135,disordered
O75475,337,344,disordered
O75475,347,352,disordered
O75475,364,369,disordered
O75475,380,395,disordered
O75475,405,409,disordered
O75475,414,471,disordered
O75496,1,209,disordered
O75506,1,53,disordered
O75506,60,76,disordered
O75533,1,462,disordered
O75533,486,489,disordered
O75533,491,1097,structured
O75533,1098,1106,disordered
O75533,1107,1304,structured
O75554,8,82,structured
O75554,276,376,disordered
O75807,513,631,disordered
O75817,1,28,disordered
O75817,29,59,structured
O75817,63,114,structured
O75817,119,139,structured
O75928,147,216,structured
O75928,217,218,disordered
O75928,220,242,structured
O75928,243,250,disordered
O75928,251,311,structured
O75928,313,328,structured
O75928,329,337,disordered
O75928,338,420,structured
O75928,427,490,disordered
O75936,1,187,structured
O75936,188,198,disordered
O75936,199,384,structured
O76074,128,145,disordered
O76074,395,406,disordered
O76074,537,660,structured
O76074,679,788,structured
O76074,811,839,structured
O76074,840,850,disordered
O76074,851,858,structured
O76463,10,402,structured
O76463,404,422,disordered
O76463,424,440,structured
O76744,1,23,disordered
O76744,24,422,structured
O77299,1,80,disordered
O80358,2,40,structured
O80358,51,85,structured
O80358,86,102,disordered
O80358,103,262,structured
O80358,269,279,structured
O81283,1,839,disordered
O82132,168,335,disordered
O85041,260,839,disordered
O85041,840,869,structured
O86488,569,1250,disordered
O88393,591,729,structured
O88393,730,744,disordered
O88393,745,757,structured
O88998,211,338,structured
O88998,339,352,disordered
O88998,353,477,structured
O89467,4,5,structured
O89467,6,25,disordered
O89467,26,44,structured
O89467,45,78,disordered
O94316,1,60,disordered
O94316,68,971,structured
O94829,1,18,disordered
O94829,19,151,structured
O94829,159,181,structured
O94829,192,455,structured
O94829,461,482,structured
O94829,484,655,structured
O94829,656,673,disordered
O94829,675,690,structured
O94829,699,794,structured
O94829,814,840,structured
O94829,850,861,structured
O94829,882,895,structured
O94829,936,951,structured
O94907,38,44,disordered
O94907,178,181,disordered
O94907,184,248,structured
O94907,249,260,disordered
O94925,71,136,disordered
O94925,139,187,structured
O94925,193,249,structured
O94925,255,315,structured
O94925,320,531,structured
O94925,601,630,structured
O94925,646,669,disordered
O95149,1,93,disordered
O95149,94,161,structured
O95149,162,165,disordered
O95149,166,287,structured
O95149,288,360,disordered
O95155,1208,1227,disordered
O95155,1228,1297,structured
O95197,1,27,disordered
O95197,246,264,structured
O95197,988,1032,disordered
O95278,1,68,structured
O95278,69,79,disordered
O95278,80,147,structured
O95278,153,323,structured
O95292,1,150,disordered
O95391,1,61,disordered
O95391,62,196,structured
O95391,197,264,disordered
O95391,267,363,structured
O95391,372,586,disordered
O95405,2,21,structured
O95405,765,853,disordered
O95405,895,911,structured
O95405,912,916,disordered
O95405,917,934,structured
O95405,935,936,disordered
O95405,937,1209,structured
O95405,1210,1216,disordered
O95405,1217,1250,structured
O95405,1251,1261,disordered
O95405,1262,1298,structured
O95405,1299,1300,disordered
O95405,1301,1318,structured
O95405,1319,1332,disordered
O95405,1333,1401,structured
O95405,1402,1411,disordered
O95405,1412,1424,structured
O95429,357,376,disordered
O95429,377,457,structured
O95470,62,109,disordered
O95470,111,553,structured
O95470,554,568,disordered
O95630,2,139,structured
O95630,140,146,disordered
O95630,219,251,disordered
O95630,252,424,structured
O95718,97,168,structured
O95718,169,194,disordered
O95718,235,431,structured
O95831,78,127,disordered
O95831,129,195,structured
O95831,199,509,structured
O95831,511,559,disordered
O95831,562,610,structured
O95835,69,89,structured
O95835,361,567,disordered
O95835,622,635,disordered
O95835,636,698,structured
O95843,1,22,disordered
O95843,23,185,structured
O95843,186,209,disordered
O96013,9,68,disordered
O96013,300,589,structured
O96018,1,214,disordered
O96018,215,569,structured
O96019,1,11,disordered
O96019,12,44,structured
O96019,45,67,disordered
O96019,68,215,structured
O96019,216,245,disordered
O96019,246,284,structured
O96019,293,311,structured
O96019,312,322,disordered
O96019,323,417,structured
O96019,418,429,disordered
O96028,218,253,structured
O96028,259,298,structured
O96028,314,346,structured
O96028,661,986,disordered
O96028,987,1018,structured
O96028,1025,1203,structured
O96028,1206,1365,disordered
P00127,1,72,disordered
