acc,start,end,label
A0A0G2JXC5,85,217,disordered
A0A0G2JXC5,230,261,disordered
A0A0H3CFC9,1,22,disordered
A0A0H3CFC9,23,54,structured
A0A0H3GD84,25,38,disordered
A0A0H3GD84,39,526,structured
A0A0H3MCR9,1,13,disordered
A0A0H3MCR9,14,46,structured
A0A0H3MCR9,49,65,structured
A0A0H3MCR9,74,109,structured
A0A0H3MCR9,115,180,structured
A0A0M4HM24,1,212,disordered
A0A109NYM0,1,10,disordered
A0A109NYM0,12,195,structured
A0A140GKJ0,1,55,structured
A0A140GKJ0,56,88,disordered
A0A142G2L5,21,181,disordered
A0A175WC91,5,117,structured
A0A175WC91,118,133,disordered
A0A175WC91,134,243,structured
A0A178W0D3,221,259,disordered
A0A1B0GTR3,1,108,disordered
A0A220GHA5,1,22,disordered
A0A220GHA5,23,140,structured
A0A396GSL0,33,55,disordered
A0A396GSL0,56,68,structured
A0A3S5Y0Q5,27,66,disordered
A0A504WW14,1,1259,disordered
A0A504WW14,1260,1344,structured
A0A504Y5E1,2,273,structured
A0A504Y5E1,274,285,disordered
A0A5F9ZHA1,662,672,disordered
A0A5F9ZHA1,796,852,disordered
A0A5F9ZHA1,1059,1068,disordered
A0A5F9ZHA1,1189,1201,disordered
A0A5F9ZHA1,1403,1430,disordered
A0A6L0XH39,7,51,structured
A0A6L0XH39,71,252,structured
A0A6L0XH39,268,284,disordered
A0A6L0XH39,304,323,disordered
A0A6L0XH39,325,360,structured
A0A6L0XH39,361,373,disordered
A0KJC7,1,230,disordered
A0KJC7,232,374,structured
A0KJC7,388,474,structured
A0L5S6,1,91,structured
A0L5S6,100,129,structured
A0L5S6,131,220,structured
A0L5S6,222,239,disordered
A0MHA3,23,34,structured
A0MHA3,36,64,disordered
A0R1T8,1,238,disordered
A0R1T8,240,290,structured
A0ZWU1,158,251,disordered
A1B602,1,19,disordered
A1B602,20,33,structured
A1B602,80,104,disordered
A1B8N7,6,115,structured
A1B8N7,116,188,disordered
A1KVD0,1,13,disordered
A1KVD0,14,155,structured
A4C1A5,1,86,disordered
A4D126,43,54,structured
A4D126,63,318,structured
A4D126,319,334,disordered
A4D126,335,451,structured
A4HN55,1,29,disordered
A4HN55,30,248,structured
A4HSQ5,1,33,disordered
A4HSQ5,34,247,structured
A4HV47,1,54,disordered
A4HV47,55,283,structured
A4IDD0,4,241,structured
A4IDD0,242,264,disordered
A4IDD6,1,99,disordered
A4IDD6,100,301,structured
A4IDS4,1,211,structured
